OBJECTID,lang,Titel,lat,lon,type_,pop,Height,Country,Subregion,Scale,dim,psize,style,t,image_,imagejpg,name,page_id,T_wikidata,Titel_aa,Titel_ab,Titel_ace,Titel_af,Titel_ak,Titel_als,Titel_am,Titel_an,Titel_ang,Titel_ar,Titel_arc,Titel_arz,Titel_ast,Titel_av,Titel_ay,Titel_az,Titel_ba,Titel_bar,Titel_bat_smg,Titel_bcl,Titel_be,Titel_be_x_old,Titel_bg,Titel_bh,Titel_bi,Titel_bm,Titel_bn,Titel_bo,Titel_bpy,Titel_br,Titel_bs,Titel_bug,Titel_bxr,Titel_ca,Titel_cbk_zam,Titel_cdo,Titel_ce,Titel_ceb,Titel_ch,Titel_cho,Titel_chr,Titel_chy,Titel_ckb,Titel_co,Titel_cr,Titel_crh,Titel_cs,Titel_csb,Titel_cu,Titel_cv,Titel_cy,Titel_da,Titel_de,Titel_diq,Titel_dsb,Titel_dv,Titel_dz,Titel_ee,Titel_el,Titel_eml,Titel_en,Titel_en_simple,Titel_eo,Titel_es,Titel_et,Titel_eu,Titel_ext,Titel_fa,Titel_ff,Titel_fi,Titel_fiu_vro,Titel_fj,Titel_fo,Titel_fr,Titel_frp,Titel_fur,Titel_fy,Titel_ga,Titel_gan,Titel_gd,Titel_gl,Titel_glk,Titel_gn,Titel_got,Titel_gu,Titel_gv,Titel_ha,Titel_hak,Titel_haw,Titel_he,Titel_hi,Titel_hif,Titel_ho,Titel_hr,Titel_hsb,Titel_ht,Titel_hu,Titel_hy,Titel_hz,Titel_ia,Titel_id,Titel_ie,Titel_ig,Titel_ii,Titel_ik,Titel_ilo,Titel_io,Titel_is,Titel_it,Titel_iu,Titel_ja,Titel_jbo,Titel_jv,Titel_ka,Titel_kaa,Titel_kab,Titel_kg,Titel_ki,Titel_kj,Titel_kk,Titel_kl,Titel_km,Titel_kn,Titel_ko,Titel_kr,Titel_ks,Titel_ksh,Titel_ku,Titel_kv,Titel_kw,Titel_ky,Titel_la,Titel_lad,Titel_lb,Titel_lbe,Titel_lg,Titel_li,Titel_lij,Titel_lmo,Titel_ln,Titel_lo,Titel_lt,Titel_lv,Titel_map_bms,Titel_mdf,Titel_mg,Titel_mh,Titel_mhr,Titel_mi,Titel_mk,Titel_ml,Titel_mn,Titel_mo,Titel_mr,Titel_ms,Titel_mt,Titel_mus,Titel_mwl,Titel_my,Titel_myv,Titel_mzn,Titel_na,Titel_nah,Titel_nap,Titel_nds,Titel_nds_nl,Titel_ne,Titel_new,Titel_ng,Titel_nl,Titel_nn,Titel_no,Titel_nostalgia,Titel_nov,Titel_nrm,Titel_nv,Titel_ny,Titel_oc,Titel_om,Titel_or,Titel_os,Titel_pa,Titel_pag,Titel_pam,Titel_pap,Titel_pcd,Titel_pdc,Titel_pi,Titel_pih,Titel_pl,Titel_pms,Titel_pnb,Titel_pnt,Titel_ps,Titel_pt,Titel_qu,Titel_rm,Titel_rmy,Titel_rn,Titel_ro,Titel_roa_rup,Titel_roa_tara,Titel_ru,Titel_rw,Titel_sa,Titel_sah,Titel_sc,Titel_scn,Titel_sco,Titel_sd,Titel_se,Titel_sg,Titel_sh,Titel_si,Titel_simple,Titel_sk,Titel_sl,Titel_sm,Titel_sn,Titel_so,Titel_sq,Titel_sr,Titel_srn,Titel_ss,Titel_st,Titel_stq,Titel_su,Titel_sv,Titel_sw,Titel_szl,Titel_ta,Titel_te,Titel_tet,Titel_tg,Titel_th,Titel_ti,Titel_tk,Titel_tl,Titel_tlh,Titel_tn,Titel_to,Titel_tokipona,Titel_tpi,Titel_tr,Titel_ts,Titel_tt,Titel_tum,Titel_tw,Titel_ty,Titel_udm,Titel_ug,Titel_uk,Titel_ur,Titel_uz,Titel_ve,Titel_vec,Titel_vi,Titel_vls,Titel_vo,Titel_wa,Titel_war,Titel_wo,Titel_wuu,Titel_xal,Titel_xh,Titel_yi,Titel_yo,Titel_za,Titel_zea,Titel_zh,Titel_zh_classical,Titel_zh_min_nan,Titel_zh_yue,Titel_zu,POINT_X,POINT_Y,article
"1,677",en,Royal Audiencia of Quito,-0.250000000000000,-78.583333330000002,,,,,,,,"6,739.0000000",,,Coat_of_Arms_of_Quito.jpg,Coat_of_Arms_of_Quito.jpg,,11972191,Q1759249,,,,,,,,,,,,,,,,,,,,,Каралеўская аўдыенсія Кіта,,,,,,,,,,,,,Reial Audiència de Quito,,,,,,,,,,,,,,,,,,,Real Audiencia de Quito,,,,,,,,Royal Audiencia of Quito,,Real Audiencia de Quito,Real Audiencia de Quito,,,,,,,,,,Real audiencia de Quito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audiencia Reale di Quito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Audiência de Quito,,,,,,,,Королевская аудиенсия Кито,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.583333329999959,-0.249999999999943,http://en.wikipedia.org/w/index.php?curid=11972191
"1,678",en,Rumiñahui Canton,-0.216666670000000,-78.516666670000006,,,,EC,,,,"3,245.0000000",,,Bandera_Província_Pichincha.svg,Bandera_Rumiñahui.jpg,,4543804,Q1990505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumiñahui Canton,,,Cantón Rumiñahui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Rumiñahui,,,,,რუმინიაუის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumiñawi kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.516666669999950,-0.216666669999938,http://en.wikipedia.org/w/index.php?curid=4543804
"1,679",en,Rumiñawi (volcano),-0.633333330000000,-78.533333330000005,mountain,,,EC,,,,"1,870.0000000",mountain,,Ecuador_relief_location_map.svg,Mountain.jpg,,1369353,Q1759338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumiñahui,,,,,,Rumiñahui (Vulkan),,,,,,,,Rumiñawi (volcano),,,Volcán Rumiñahui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminjavis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumiñawi urqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.533333329999948,-0.633333329999971,http://en.wikipedia.org/w/index.php?curid=1369353
"1,680",en,Rumichaca Bridge,0.815300000000000,-77.664900000000003,,,,,,,,877.0000000,,,Bridge_drawing.svg,Rumichaca.JPG,,26509929,Q3396718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumichaca Bridge,,,Puente internacional de Rumichaca,,,,,,,,,,Pont Rumichaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.664899999999989,0.815300000000036,http://en.wikipedia.org/w/index.php?curid=26509929
"1,681",en,Salango,-1.594444440000000,-80.841666669999995,city,,,EC,,,5000,"18,006.0000000",city,,Flag_of_Ecuador.svg,,,21589338,Q7403626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salango,,,Salango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.841666669999938,-1.594444439999961,http://en.wikipedia.org/w/index.php?curid=21589338
"1,682",en,Salasaca,-1.335277780000000,-78.566111109999994,city,12000,,EC,,,,"1,775.0000000",city,,Flag-map_of_Ecuador.svg,Salasaca_inti_raymi.jpg,,394662,Q7403705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salasaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salasaka llaqta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Саласака,,,,,,,,,,,,,,,,,,,,,,,-78.566111109999952,-1.335277779999956,http://en.wikipedia.org/w/index.php?curid=394662
"1,683",en,Salcedo Canton,-1.050000000000000,-78.583333330000002,city,51304,,EC,,,,"2,802.0000000",city,,Cantones_de_la_Provincia_de_Cotopaxi.JPG,Cantones_de_la_Provincia_de_Cotopaxi.JPG,,19614688,Q2707803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salcedo Canton,,,Cantón Salcedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Salcedo,,,,,სალსედოს კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salcedo (kanton),,,,,,,,,,,,,,,,,,,,,,,,,Salcedo (cantão),Salcedo kiti,,,,,,,Сальседо (кантон),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.583333329999959,-1.049999999999955,http://en.wikipedia.org/w/index.php?curid=19614688
"1,684",en,"Salcedo, Ecuador",-1.050000000000000,-78.583333330000002,city,10000,,EC,,,,350.0000000,city,,Flag-map_of_Ecuador.svg,,,2302094,Q2198509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salcedo, Ecuador",,,Salcedo (Ecuador),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salcedo (plaats),,,,,,,,,,,,,,,,,,,,,,,,,,San Miguel (Kutupaksi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.583333329999959,-1.049999999999955,http://en.wikipedia.org/w/index.php?curid=2302094
"1,685",en,Salinas Canton,-2.216666670000000,-80.950000000000003,city,,,EC,,,,"2,734.0000000",city,,Cantones_de_Santa_Elena.png,,,26041719,Q1992844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinas Canton,,,Cantón Salinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Salinas,,,,,სალინასის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinas kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.949999999999989,-2.216666669999938,http://en.wikipedia.org/w/index.php?curid=26041719
"1,686",en,"Salinas, Ecuador",-2.216700000000000,-80.950066669999998,city,50000,,EC,,,,"7,985.0000000",city,,Ecuador_location_map.svg,Salinas_beach_view_in_ecuador_south_america.jpg,,1851543,Q1026284,,,,,,,,,,,,,,,,,,,,,,Салінас (Эквадор),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinas (Ecuador),,,,,,,,"Salinas, Ecuador",,,Salinas (Ecuador),,,,,,,,,,Salinas (Équateur),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinas (Ecuador),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinasas (Ekvadoras),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinas (Equador),Salinas (Ikwadur),,,,"Salinas, Ecuador",,,,,,,,,"Salinas, Ecuador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,薩利納斯 (厄瓜多爾),,,,,-80.950066669999956,-2.216699999999946,http://en.wikipedia.org/w/index.php?curid=1851543
"1,687",en,Salitre Canton,-1.829444440000000,-79.815555560000007,adm2nd,,,EC,,,,"2,483.0000000",adm2nd,,Ecuador_Guayas_province.svg,,,25988836,Q1990368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salitre Canton,,,Salitre (cantón),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Salitre,,,,,სალიტრეს კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salitre kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.815555559999950,-1.829444439999975,http://en.wikipedia.org/w/index.php?curid=25988836
"1,688",en,"Samaniego, Nariño",1.350000000000000,-77.599999999999994,city,,,CO,,,,"2,352.0000000",city,,Colombia_-_Nariño_-_Samaniego.svg,,,10707557,Q2195228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Samaniego, Nariño",,,Samaniego (Nariño),,,,,,,,,,Samaniego (Nariño),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samaniego (Colombia),,,,,სამანიეგო (ნარინიო),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Samaniego, Nariño",,,,,,,,,,,,,,,Samaniego (Colombia),,,,,,,,,,,,,,,,,,,,,,,,,Samaniego (Nariño),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Samaniego, Nariño",,,,,,,,,,,,,,,,,,,,,,,"Samaniego, Nariño",,,,,,,,,薩馬涅戈 (納里尼奧省),,,,,-77.599999999999966,1.350000000000023,http://en.wikipedia.org/w/index.php?curid=10707557
"1,689",en,Samborondón,-2.183333330000000,-79.883333329999999,city,11030,,EC,,,,"8,089.0000000",city,,Banderasamborondon.jpeg,Parque_Histórico_Guayaquil_-_Café_1900.JPG,,1846398,Q368320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samborondón,,,,,,,,Samborondón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samborondón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.883333329999971,-2.183333329999925,http://en.wikipedia.org/w/index.php?curid=1846398
"1,690",en,Samborondón Canton,-2.183333330000000,-79.883333329999999,city,,,EC,,,,"2,515.0000000",city,,Ecuador_Guayas_province.svg,,,25988842,Q2051898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samborondón Canton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Samborondón,,,,,სამბორონდონის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samborondón kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.883333329999971,-2.183333329999925,http://en.wikipedia.org/w/index.php?curid=25988842
"1,691",en,"San Agustín, Huila",1.900000000000000,-76.283333330000005,landmark,,,CO,,,,"2,768.0000000",landmark,,Colombia-Ecuador'06_306.jpg,Parque_Arqueológico_de_San_Agustín_-_Tumb_with_deity.jpg,,3325503,Q1010129,,,,,,,,,,,,,,,,,,,,,Горад Сан-Агусцін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Agustín (Kolumbien),,,,,,,,"San Agustín, Huila",,,San Agustín (Huila),,,,سن آگوستین، هوئیلا,,San Agustín,,,,San Agustín (Huila),,,,,,,,,,,,,,,,,,,,Arheološki park San Agustín,,,,,,,,,,,,,,,San Agustín (Colombia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Agustinas (Kolumbija),,,,,,,,,,,,,"San Agustín, Huila",,,,,,,,,,,,,,,San Agustín (Huila),,,,,,,,,,,,,,,,,,,,San Agustín (Kolumbia),,,,,San Agustín (Huila),,,,,,,,Сан-Агустин (Колумбия),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Agustín, Huila",,,,,,,,,,,,,,,,,,,"San Agustín, Huila",,,,"San Agustín, Huila",,,,,,,,,聖奧古斯丁 (烏伊拉省),,,,,-76.283333329999948,1.900000000000034,http://en.wikipedia.org/w/index.php?curid=3325503
"1,692",en,San Antonio de Pichincha,-0.008240000000000,-78.445128999999994,,,,EC,,,,"1,051.0000000",,,Flag_of_Quito.svg,,,21141058,Q1002025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio de Pichincha,,,,,,,,San Antonio de Pichincha,,,San Antonio (parroquia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonijo de Pičinča,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lulumpampa kitilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.445128999999952,-0.008239999999944,http://en.wikipedia.org/w/index.php?curid=21141058
"1,693",en,"San Bernardo, Nariño",1.516390000000000,-77.046700000000001,,,,,,,,"2,358.0000000",,,Colombia_-_Nariño_-_San_Bernardo.svg,,,10707579,Q1525355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Bernardo, Nariño",,,San Bernardo (Nariño),,,,,,,,,,San Bernardo (Nariño),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Bernardo (Nariño),,,,,სან-ბერნარდო (ნარინიო),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Bernardo, Nariño",,,,,,,,,,,,,,,San Bernardo (Nariño),,,,,,,,,,,,,,,,,,,,,,,,,San Bernardo (Nariño),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Bernardo, Nariño",,,,,,,,,,,,,,,,,,,"San Bernardo, Nariño",,,,"San Bernardo, Nariño",,,,,,,,,聖貝爾納多 (納里尼奧省),,,,,-77.046699999999987,1.516390000000058,http://en.wikipedia.org/w/index.php?curid=10707579
"1,694",en,San Cristóbal Airport,-0.910277780000000,-89.617500000000007,airport,,,EC,,,,"1,694.0000000",airport,,Airplane_silhouette.svg,,,16775484,Q2875915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Cristóbal Airport,,,Aeropuerto de San Cristóbal,,,,فرودگاه سن کریستاوبال,,,,,,Aéroport de San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,サンクリストバル空港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lapangan Terbang San Cristobal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Port lotniczy San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Фурудгоҳи син кристовбол,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.617499999999950,-0.910277779999944,http://en.wikipedia.org/w/index.php?curid=16775484
"1,695",en,San Cristóbal Island,-0.800000000000000,-89.400000000000006,,,,EC,,,,"7,002.0000000",,,Azolla_megaspore_and_massulae_Postglacial_Galapagos_Islands_SEM_1.jpg,Azolla_megaspore_and_massulae_Postglacial_Galapagos_Islands_SEM_1.jpg,,2585922,Q855652,,,,,,,,,,جزيرة سانت كريستوبال,,,,,,,,,,,,,,,,,,,,San Cristóbal (Galápagos),,,,Illa de San Cristóbal (Equador),,,,,,,,,,,,,San Cristóbal (ostrov),,,,,,San Cristóbal (Galápagos),,,,,,,,San Cristóbal Island,,,Isla de San Cristóbal (Ecuador),San Cristóbal (Galápagose saared),,,,,San Cristóbal (Galápagossaaret),,,,Île San Cristóbal,,,,,,,,,,,,,,,,סן קריסטובל (גלאפגוס),सैन क्रिस्टोबाल (गैलापागोस),,,,,,,,,,,,,,,,,,,,サン・クリストバル島,,,,,,,,,,,,,산크리스토발 섬,,,,,,,,,,,,,,,,,,San Kristobalio sala,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Cristóbal (eiland),,San Cristóbal (Galápagos),,,,,,,,,,,,,,,,,,San Cristóbal (wyspa),,,,,Ilha de São Cristóvão (Galápagos),San Cristóbal wat'a,,,,Insula San Cristóbal,,,Сан-Кристобаль (Галапагосские острова),,,,,,,,,,,,,San Cristóbal (ostrov),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сан-Крістобаль (Галапагоські острови),,,,,,,,,,,,,,,,,,聖克里斯托巴爾島,,,,,-89.399999999999977,-0.799999999999955,http://en.wikipedia.org/w/index.php?curid=2585922
"1,696",en,San Cristóbal Canton,-0.800000000000000,-89.400000000000006,,,,EC,,,,"2,778.0000000",,,Bandera_de_San_Cristóbal.png,,,4648678,Q14920555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Cristóbal Canton,,,Cantón San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Cristóbal (kanton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.399999999999977,-0.799999999999955,http://en.wikipedia.org/w/index.php?curid=4648678
"1,697",en,"San Francisco, Putumayo",1.174722220000000,-76.879722220000005,city,,,CO,,,,"2,408.0000000",city,,Colombia_-_Putumayo_-_San_Francisco.svg,,,10704810,Q2434062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Francisco, Putumayo",,,San Francisco (Putumayo),,,,,,,,,,San Francisco (Putumayo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco (Putumayo),,,,,სან-ფრანსისკო (პუტუმაიო),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Francisco, Putumayo",,,,,,,,,,,,,,,San Francisco (Putumayo),,,,,,,,,,,,,,,,,,,,,,,,,San Francisco (Putumayo),,,,,,,,,,,,,,"San Francisco, Putumayo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Francisco, Putumayo",,,,,,,,,,,,,,,,,,,"San Francisco, Putumayo",,,,"San Francisco, Putumayo",,,,,,,,,,,,,,-76.879722219999962,1.174722220000035,http://en.wikipedia.org/w/index.php?curid=10704810
"1,698",en,San Fernando Canton,-3.144500000000000,-79.251999999999995,city,,,EC,,,,"2,404.0000000",city,,Cantones_de_Azuay.png,,,25976406,Q2449055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Fernando Canton,,,Cantón San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di San Fernando,,,,,სან-ფერნანდოს კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Fernando (cantão),San Fernando kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.251999999999953,-3.144499999999937,http://en.wikipedia.org/w/index.php?curid=25976406
"1,699",en,"San Gabriel, Ecuador",0.610000000000000,-77.840000000000003,city,33000,,EC,,,,"1,036.0000000",city,,Ecuador_location_map.svg,,,16096031,Q4405656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Gabriel, Ecuador",,,San Gabriel (Ecuador),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.839999999999975,0.610000000000070,http://en.wikipedia.org/w/index.php?curid=16096031
